EmployeeNumber,Age,AgeBand,Gender,MaritalStatus,Department,JobRole,JobLevel,SeniorityBand,MonthlyIncome,MonthlyIncomeK,AnnualIncome,SalaryBand,Attrition,AttritionBinary,AttritionRiskScore,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,PromotionRecency,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,JobSatisfactionLabel,EnvironmentSatisfaction,EnvironmentSatisfactionLabel,WorkLifeBalance,WorkLifeBalanceLabel,PerformanceRating,PerformanceLabel,OverTime,OvertimeBinary,BusinessTravel,DistanceFromHome,DistanceBand,Education,EducationField,StockOptionLevel,PercentSalaryHike,RelationshipSatisfaction,JobInvolvement
1716,47,46-55,Male,Married,Sales,Sales Executive,4,Lead,12936,12.94,155232,Very High (10K+),Yes,1,1.624,23,20+ yrs,5,14,5+ yrs,10,7,25,3,3,High,3,High,1,Bad,3,Excellent,No,0,Travel_Frequently,9,Medium (6-15),3,Life Sciences,0,11,3,1
1718,26,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2305,2.31,27660,Low (<3K),No,0,0.909,3,3-5 yrs,2,0,Just Promoted,2,1,3,3,3,High,4,Very High,4,Best,3,Excellent,No,0,Travel_Rarely,17,Far (16+),4,Medical,3,15,3,1
1719,45,36-45,Female,Single,Research & Development,Research Director,4,Lead,16704,16.7,200448,Very High (10K+),No,0,1.4,21,20+ yrs,6,8,5+ yrs,6,1,21,2,2,Medium,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,28,Far (16+),2,Technical Degree,0,11,3,2
1720,32,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,3433,3.43,41196,Medium (3-6K),No,0,1.791,5,3-5 yrs,2,1,1-2 yrs,3,6,10,3,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Frequently,10,Medium (6-15),3,Life Sciences,1,13,1,3
1721,31,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,3477,3.48,41724,Medium (3-6K),No,0,1.257,5,3-5 yrs,2,0,Just Promoted,3,1,6,2,3,High,2,Medium,4,Best,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Life Sciences,1,14,4,3
1722,41,36-45,Male,Married,Human Resources,Human Resources,2,Mid-Level,6430,6.43,77160,High (6-10K),No,0,1.47,3,3-5 yrs,2,1,1-2 yrs,2,6,10,4,2,Medium,3,High,3,Better,3,Excellent,No,0,Non-Travel,4,Near (1-5),3,Human Resources,1,19,2,1
1724,40,36-45,Female,Married,Research & Development,Manufacturing Director,2,Mid-Level,6516,6.52,78192,High (6-10K),No,0,2.128,1,0-2 yrs,0,0,Just Promoted,0,2,18,3,1,Low,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,8,Medium (6-15),2,Life Sciences,1,16,2,3
1725,24,18-25,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,3907,3.91,46884,Medium (3-6K),No,0,1.857,6,6-10 yrs,2,1,1-2 yrs,2,1,6,2,1,Low,2,Medium,4,Best,3,Excellent,No,0,Travel_Rarely,29,Far (16+),1,Medical,3,13,2,3
1727,46,46-55,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,5562,5.56,66744,Medium (3-6K),No,0,1.495,10,6-10 yrs,7,0,Just Promoted,9,6,19,3,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,13,Medium (6-15),4,Life Sciences,0,14,4,3
1728,35,26-35,Male,Married,Research & Development,Manufacturing Director,2,Mid-Level,6883,6.88,82596,High (6-10K),No,0,1.093,7,6-10 yrs,7,0,Just Promoted,7,2,17,3,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,27,Far (16+),4,Life Sciences,1,16,2,3
1729,30,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2862,2.86,34344,Low (<3K),No,0,1.355,10,6-10 yrs,0,0,Just Promoted,8,1,10,2,4,Very High,2,Medium,2,Good,3,Excellent,No,0,Travel_Rarely,16,Far (16+),1,Life Sciences,1,12,2,3
1731,47,46-55,Male,Married,Sales,Sales Executive,2,Mid-Level,4978,4.98,59736,Medium (3-6K),No,0,1.757,1,0-2 yrs,0,0,Just Promoted,0,7,4,3,2,Medium,3,High,1,Bad,3,Excellent,No,0,Non-Travel,2,Near (1-5),4,Marketing,1,11,4,3
1732,46,46-55,Male,Divorced,Sales,Sales Executive,3,Senior,10368,10.37,124416,Very High (10K+),No,0,1.307,10,6-10 yrs,6,0,Just Promoted,3,4,13,5,4,Very High,3,High,2,Good,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),3,Life Sciences,1,12,2,3
1733,36,36-45,Male,Divorced,Sales,Sales Executive,2,Mid-Level,6134,6.13,73608,High (6-10K),Yes,1,2.158,2,0-2 yrs,2,2,1-2 yrs,2,5,16,3,1,Low,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,13,Medium (6-15),5,Marketing,3,13,2,2
1734,32,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,6735,6.74,80820,High (6-10K),Yes,1,1.853,0,0-2 yrs,0,0,Just Promoted,0,6,10,2,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),2,Life Sciences,0,15,2,1
1735,23,18-25,Female,Single,Research & Development,Laboratory Technician,1,Junior,3295,3.3,39540,Medium (3-6K),No,0,1.77,3,3-5 yrs,2,1,1-2 yrs,2,1,3,3,2,Medium,3,High,1,Bad,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),1,Medical,0,13,3,3
1736,31,26-35,Female,Single,Research & Development,Manufacturing Director,2,Mid-Level,5238,5.24,62856,Medium (3-6K),No,0,0.989,5,3-5 yrs,4,1,1-2 yrs,4,2,9,3,4,Very High,4,Very High,2,Good,4,Outstanding,No,0,Travel_Frequently,24,Far (16+),1,Technical Degree,0,20,4,3
1737,39,36-45,Male,Married,Research & Development,Laboratory Technician,2,Mid-Level,6472,6.47,77664,High (6-10K),No,0,0.987,9,6-10 yrs,8,5,3-5 yrs,8,1,9,2,4,Very High,4,Very High,3,Better,3,Excellent,Yes,1,Non-Travel,1,Near (1-5),3,Life Sciences,1,15,4,3
1739,32,26-35,Male,Married,Sales,Sales Executive,3,Senior,9610,9.61,115320,High (6-10K),No,0,1.366,4,3-5 yrs,3,0,Just Promoted,2,3,10,2,3,High,4,Very High,1,Bad,3,Excellent,No,0,Travel_Rarely,19,Far (16+),3,Life Sciences,1,13,3,1
1740,40,36-45,Male,Single,Sales,Manager,5,Director,19833,19.83,237996,Very High (10K+),No,0,1.904,21,20+ yrs,8,12,5+ yrs,8,1,21,3,2,Medium,2,Medium,2,Good,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Medical,0,14,2,3
1744,45,36-45,Female,Married,Human Resources,Human Resources,3,Senior,9756,9.76,117072,High (6-10K),No,0,1.064,5,3-5 yrs,0,0,Just Promoted,3,4,9,2,3,High,3,High,4,Best,4,Outstanding,No,0,Travel_Rarely,4,Near (1-5),3,Life Sciences,2,21,3,1
1745,30,26-35,Female,Single,Research & Development,Research Scientist,1,Junior,4968,4.97,59616,Medium (3-6K),No,0,1.507,9,6-10 yrs,7,0,Just Promoted,7,0,10,2,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),4,Technical Degree,0,16,4,2
1746,24,18-25,Male,Married,Human Resources,Human Resources,1,Junior,2145,2.14,25740,Low (<3K),No,0,1.398,2,0-2 yrs,2,2,1-2 yrs,1,0,3,2,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,10,Medium (6-15),3,Medical,1,14,4,3
1747,30,26-35,Female,Divorced,Human Resources,Human Resources,1,Junior,2180,2.18,26160,Low (<3K),Yes,1,1.134,4,3-5 yrs,2,1,1-2 yrs,2,6,6,0,4,Very High,3,High,2,Good,3,Excellent,No,0,Travel_Frequently,8,Medium (6-15),3,Human Resources,1,11,3,2
1749,31,26-35,Male,Married,Sales,Sales Executive,2,Mid-Level,8346,8.35,100152,High (6-10K),No,0,1.617,5,3-5 yrs,2,0,Just Promoted,2,1,6,3,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,5,Near (1-5),3,Technical Degree,1,19,3,3
1751,27,26-35,Female,Single,Research & Development,Research Scientist,1,Junior,3445,3.44,41340,Medium (3-6K),No,0,1.134,6,6-10 yrs,2,1,1-2 yrs,4,1,6,5,4,Very High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),3,Medical,0,11,3,3
1752,29,26-35,Female,Single,Sales,Sales Representative,1,Junior,2760,2.76,33120,Low (<3K),Yes,1,1.694,2,0-2 yrs,2,2,1-2 yrs,2,1,2,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),3,Marketing,0,13,3,1
1753,29,26-35,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,6294,6.29,75528,High (6-10K),No,0,1.053,3,3-5 yrs,2,0,Just Promoted,2,8,10,5,3,High,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),3,Life Sciences,0,12,4,4
1754,30,26-35,Male,Divorced,Sales,Sales Executive,3,Senior,7140,7.14,85680,High (6-10K),No,0,1.758,7,6-10 yrs,7,1,1-2 yrs,7,2,12,2,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,15,Medium (6-15),2,Marketing,1,11,1,2
1755,34,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2932,2.93,35184,Low (<3K),No,0,0.964,5,3-5 yrs,0,1,1-2 yrs,2,0,6,3,4,Very High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),4,Medical,3,14,1,4
1756,33,26-35,Female,Single,Sales,Sales Executive,2,Mid-Level,5147,5.15,61764,Medium (3-6K),No,0,1.414,11,11-20 yrs,7,1,1-2 yrs,7,8,13,2,2,Medium,4,Very High,2,Good,3,Excellent,No,0,Non-Travel,2,Near (1-5),3,Marketing,0,15,4,3
1757,49,46-55,Female,Single,Sales,Sales Executive,2,Mid-Level,4507,4.51,54084,Medium (3-6K),No,0,0.638,5,3-5 yrs,1,0,Just Promoted,4,3,8,1,4,Very High,4,Very High,4,Best,3,Excellent,No,0,Travel_Rarely,11,Medium (6-15),4,Marketing,0,12,3,3
1758,33,26-35,Female,Single,Sales,Sales Executive,3,Senior,8564,8.56,102768,High (6-10K),Yes,1,2.505,0,0-2 yrs,0,0,Just Promoted,0,2,11,2,1,Low,1,Low,2,Good,4,Outstanding,Yes,1,Travel_Rarely,16,Far (16+),3,Life Sciences,0,20,3,3
1760,38,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,2468,2.47,29616,Low (<3K),No,0,1.607,6,6-10 yrs,1,0,Just Promoted,5,4,9,4,2,Medium,3,High,2,Good,3,Excellent,No,0,Travel_Frequently,2,Near (1-5),2,Medical,1,14,2,2
1761,31,26-35,Male,Married,Sales,Sales Executive,3,Senior,8161,8.16,97932,High (6-10K),Yes,1,1.655,1,0-2 yrs,0,0,Just Promoted,0,2,10,2,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,16,Far (16+),4,Marketing,3,13,1,3
1762,29,26-35,Female,Divorced,Research & Development,Research Scientist,1,Junior,2109,2.11,25308,Low (<3K),No,0,1.514,1,0-2 yrs,0,0,Just Promoted,0,1,1,2,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),3,Technical Degree,1,13,3,2
1763,30,26-35,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,5294,5.29,63528,Medium (3-6K),No,0,1.262,7,6-10 yrs,0,1,1-2 yrs,7,3,10,3,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,16,Far (16+),3,Life Sciences,1,16,3,4
1764,32,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2718,2.72,32616,Low (<3K),No,0,1.667,7,6-10 yrs,7,0,Just Promoted,7,2,12,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Non-Travel,5,Near (1-5),4,Technical Degree,0,14,2,3
1766,38,36-45,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,5811,5.81,69732,Medium (3-6K),No,0,1.419,1,0-2 yrs,0,1,1-2 yrs,0,3,15,2,4,Very High,2,Medium,3,Better,3,Excellent,Yes,1,Travel_Rarely,18,Far (16+),3,Medical,1,16,3,1
1767,43,36-45,Male,Married,Research & Development,Research Scientist,1,Junior,2437,2.44,29244,Low (<3K),Yes,1,1.459,1,0-2 yrs,0,0,Just Promoted,0,9,6,4,3,High,3,High,3,Better,3,Excellent,Yes,1,Travel_Frequently,17,Far (16+),3,Technical Degree,1,16,4,2
1768,42,36-45,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2766,2.77,33192,Low (<3K),No,0,1.841,5,3-5 yrs,3,0,Just Promoted,4,8,7,6,2,Medium,2,Medium,2,Good,4,Outstanding,No,0,Travel_Rarely,12,Medium (6-15),3,Medical,3,22,2,3
1770,55,46-55,Male,Married,Research & Development,Research Director,5,Director,19038,19.04,228456,Very High (10K+),No,0,1.707,1,0-2 yrs,0,0,Just Promoted,0,8,34,2,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Medical,3,12,2,2
1771,33,26-35,Male,Divorced,Research & Development,Research Scientist,2,Mid-Level,3055,3.06,36660,Medium (3-6K),No,0,1.42,9,6-10 yrs,8,1,1-2 yrs,7,5,11,2,2,Medium,4,Very High,2,Good,3,Excellent,No,0,Non-Travel,4,Near (1-5),3,Technical Degree,2,15,4,3
1772,41,36-45,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2289,2.29,27468,Low (<3K),No,0,1.731,5,3-5 yrs,3,0,Just Promoted,4,1,5,2,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,9,Medium (6-15),4,Life Sciences,2,20,2,3
1774,34,26-35,Male,Divorced,Sales,Sales Executive,2,Mid-Level,4001,4.0,48012,Medium (3-6K),No,0,1.234,15,11-20 yrs,14,0,Just Promoted,7,1,15,3,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Non-Travel,10,Medium (6-15),3,Life Sciences,1,14,3,3
1775,53,46-55,Female,Married,Research & Development,Manufacturing Director,4,Lead,12965,12.96,155580,Very High (10K+),No,0,1.953,3,3-5 yrs,2,0,Just Promoted,2,4,27,2,3,High,1,Low,2,Good,4,Outstanding,Yes,1,Non-Travel,1,Near (1-5),4,Medical,3,20,4,2
1778,43,36-45,Male,Single,Human Resources,Human Resources,1,Junior,3539,3.54,42468,Medium (3-6K),No,0,1.164,9,6-10 yrs,7,1,1-2 yrs,8,0,10,5,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,0,13,2,3
1779,34,26-35,Female,Single,Sales,Sales Executive,2,Mid-Level,6029,6.03,72348,High (6-10K),No,0,0.774,2,0-2 yrs,2,2,1-2 yrs,2,5,6,3,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),2,Life Sciences,0,12,1,1
1780,21,18-25,Male,Single,Sales,Sales Representative,1,Junior,2679,2.68,32148,Low (<3K),Yes,1,1.681,1,0-2 yrs,0,1,1-2 yrs,0,1,1,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),1,Marketing,0,13,2,3
1782,38,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,3702,3.7,44424,Medium (3-6K),No,0,1.021,5,3-5 yrs,4,0,Just Promoted,4,1,5,3,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),2,Other,1,11,2,2
1783,22,18-25,Female,Married,Research & Development,Laboratory Technician,1,Junior,2398,2.4,28776,Low (<3K),Yes,1,1.928,1,0-2 yrs,0,0,Just Promoted,0,1,1,6,1,Low,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,8,Medium (6-15),1,Medical,0,17,3,3
1784,31,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,5468,5.47,65616,Medium (3-6K),No,0,1.483,12,11-20 yrs,7,5,3-5 yrs,7,1,13,3,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,29,Far (16+),4,Marketing,2,14,1,2
1786,51,46-55,Female,Married,Research & Development,Manager,3,Senior,13116,13.12,157392,Very High (10K+),No,0,1.624,2,0-2 yrs,2,2,1-2 yrs,2,2,15,2,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,3,Near (1-5),3,Technical Degree,0,11,4,3
1787,37,36-45,Male,Married,Sales,Sales Executive,2,Mid-Level,4189,4.19,50268,Medium (3-6K),No,0,1.681,5,3-5 yrs,2,0,Just Promoted,3,1,5,2,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),2,Marketing,2,14,1,2
1789,46,46-55,Male,Divorced,Research & Development,Research Director,5,Director,19328,19.33,231936,Very High (10K+),No,0,1.17,2,0-2 yrs,1,2,1-2 yrs,2,7,24,3,4,Very High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),4,Medical,1,17,3,3
1790,36,36-45,Male,Married,Research & Development,Healthcare Representative,3,Senior,8321,8.32,99852,High (6-10K),No,0,1.768,12,11-20 yrs,8,5,3-5 yrs,7,7,15,1,1,Low,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),3,Life Sciences,1,13,4,3
1792,44,36-45,Male,Divorced,Research & Development,Research Scientist,1,Junior,2342,2.34,28104,Low (<3K),Yes,1,1.817,5,3-5 yrs,3,2,1-2 yrs,3,1,6,2,2,Medium,3,High,2,Good,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),2,Medical,3,12,3,3
1794,37,36-45,Male,Divorced,Human Resources,Human Resources,2,Mid-Level,4071,4.07,48852,Medium (3-6K),No,0,1.654,10,6-10 yrs,0,4,3-5 yrs,7,2,19,4,2,Medium,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),2,Other,0,13,3,3
1797,35,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,5813,5.81,69756,Medium (3-6K),Yes,1,1.29,10,6-10 yrs,7,7,5+ yrs,7,1,10,2,4,Very High,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,27,Far (16+),3,Life Sciences,0,18,4,3
1798,33,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,3143,3.14,37716,Medium (3-6K),No,0,1.574,10,6-10 yrs,8,7,5+ yrs,6,6,14,1,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),4,Life Sciences,1,19,2,4
1799,28,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2044,2.04,24528,Low (<3K),No,0,0.803,5,3-5 yrs,3,0,Just Promoted,3,1,5,6,4,Very High,3,High,4,Best,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Life Sciences,1,11,3,3
1800,39,36-45,Male,Single,Research & Development,Research Director,3,Senior,13464,13.46,161568,Very High (10K+),No,0,1.248,4,3-5 yrs,3,2,1-2 yrs,2,7,9,3,3,High,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,10,Medium (6-15),1,Medical,0,21,3,3
1801,46,46-55,Male,Single,Sales,Sales Executive,2,Mid-Level,7991,7.99,95892,High (6-10K),No,0,1.753,2,0-2 yrs,2,2,1-2 yrs,2,8,6,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Non-Travel,26,Far (16+),2,Life Sciences,0,15,3,2
1802,40,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,3377,3.38,40524,Medium (3-6K),No,0,1.857,4,3-5 yrs,3,0,Just Promoted,2,4,7,5,1,Low,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Life Sciences,1,17,4,3
1803,42,36-45,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,5538,5.54,66456,Medium (3-6K),No,0,2.095,0,0-2 yrs,0,0,Just Promoted,0,5,10,2,1,Low,2,Medium,2,Good,3,Excellent,No,0,Travel_Rarely,13,Medium (6-15),3,Medical,2,18,3,4
1804,35,26-35,Male,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,5762,5.76,69144,Medium (3-6K),No,0,1.164,7,6-10 yrs,7,1,1-2 yrs,7,2,15,6,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Non-Travel,2,Near (1-5),2,Medical,1,14,3,3
1805,38,36-45,Male,Divorced,Human Resources,Human Resources,1,Junior,2592,2.59,31104,Low (<3K),No,0,1.877,11,11-20 yrs,10,3,3-5 yrs,8,5,13,3,2,Medium,1,Low,3,Better,3,Excellent,No,0,Non-Travel,2,Near (1-5),3,Human Resources,3,13,4,3
1807,34,26-35,Male,Married,Research & Development,Laboratory Technician,2,Mid-Level,5346,5.35,64152,Medium (3-6K),Yes,1,1.681,7,6-10 yrs,1,0,Just Promoted,7,4,11,3,1,Low,4,Very High,2,Good,3,Excellent,No,0,Travel_Frequently,9,Medium (6-15),4,Life Sciences,1,17,3,3
1809,37,36-45,Male,Single,Research & Development,Manufacturing Director,2,Mid-Level,4213,4.21,50556,Medium (3-6K),Yes,1,1.834,10,6-10 yrs,3,0,Just Promoted,8,1,10,4,1,Low,4,Very High,1,Bad,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),4,Medical,0,15,2,3
1812,39,36-45,Male,Divorced,Sales,Sales Executive,2,Mid-Level,4127,4.13,49524,Medium (3-6K),No,0,1.032,2,0-2 yrs,1,2,1-2 yrs,2,2,7,6,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Frequently,20,Far (16+),3,Life Sciences,1,18,4,3
1813,43,36-45,Male,Single,Research & Development,Research Scientist,1,Junior,2438,2.44,29256,Low (<3K),No,0,1.788,3,3-5 yrs,2,1,1-2 yrs,2,4,7,2,3,High,1,Low,2,Good,3,Excellent,No,0,Non-Travel,9,Medium (6-15),3,Life Sciences,0,13,3,3
1814,41,36-45,Male,Single,Research & Development,Healthcare Representative,2,Mid-Level,6870,6.87,82440,High (6-10K),No,0,1.974,3,3-5 yrs,2,1,1-2 yrs,2,3,11,3,2,Medium,2,Medium,1,Bad,3,Excellent,No,0,Travel_Rarely,5,Near (1-5),3,Life Sciences,0,12,1,4
1815,41,36-45,Female,Divorced,Sales,Sales Executive,3,Senior,10447,10.45,125364,Very High (10K+),No,0,1.35,22,20+ yrs,14,13,5+ yrs,5,0,23,3,3,High,3,High,4,Best,3,Excellent,Yes,1,Travel_Rarely,4,Near (1-5),1,Marketing,1,13,4,3
1816,30,26-35,Female,Single,Research & Development,Manufacturing Director,3,Senior,9667,9.67,116004,High (6-10K),No,0,1.634,7,6-10 yrs,7,0,Just Promoted,2,9,9,3,3,High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),3,Medical,0,14,2,3
1818,26,26-35,Female,Married,Human Resources,Human Resources,1,Junior,2148,2.15,25776,Low (<3K),Yes,1,1.526,5,3-5 yrs,1,1,1-2 yrs,4,0,6,3,2,Medium,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,20,Far (16+),2,Medical,0,11,3,3
1821,46,46-55,Female,Married,Research & Development,Healthcare Representative,2,Mid-Level,8926,8.93,107112,High (6-10K),Yes,1,1.192,9,6-10 yrs,7,3,3-5 yrs,7,4,13,2,2,Medium,4,Very High,4,Best,4,Outstanding,No,0,Travel_Rarely,21,Far (16+),2,Medical,1,22,4,3
1822,40,36-45,Female,Divorced,Research & Development,Healthcare Representative,2,Mid-Level,6513,6.51,78156,High (6-10K),No,0,0.953,5,3-5 yrs,3,0,Just Promoted,3,4,12,3,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Life Sciences,1,17,4,3
1823,34,26-35,Male,Married,Sales,Sales Executive,2,Mid-Level,6799,6.8,81588,High (6-10K),No,0,1.454,10,6-10 yrs,8,4,3-5 yrs,8,1,10,5,3,High,2,Medium,3,Better,4,Outstanding,No,0,Travel_Rarely,8,Medium (6-15),2,Technical Degree,2,21,3,4
1824,58,55+,Male,Divorced,Sales,Manager,4,Lead,16291,16.29,195492,Very High (10K+),No,0,1.9,16,11-20 yrs,9,14,5+ yrs,14,4,37,0,2,Medium,2,Medium,2,Good,4,Outstanding,No,0,Non-Travel,2,Near (1-5),3,Medical,1,22,4,3
1826,35,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2705,2.7,32460,Low (<3K),No,0,1.329,5,3-5 yrs,4,0,Just Promoted,3,0,6,2,3,High,2,Medium,4,Best,3,Excellent,No,0,Travel_Rarely,23,Far (16+),4,Medical,1,16,2,1
1827,47,46-55,Female,Divorced,Research & Development,Manufacturing Director,3,Senior,10333,10.33,123996,Very High (10K+),No,0,1.757,22,20+ yrs,11,14,5+ yrs,10,8,28,4,2,Medium,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,4,Near (1-5),3,Life Sciences,1,12,3,2
1829,40,36-45,Female,Divorced,Research & Development,Healthcare Representative,2,Mid-Level,4448,4.45,53376,Medium (3-6K),No,0,1.988,7,6-10 yrs,4,7,5+ yrs,7,2,15,3,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,12,Medium (6-15),3,Life Sciences,1,12,2,3
1830,54,46-55,Female,Married,Research & Development,Research Scientist,2,Mid-Level,6854,6.85,82248,High (6-10K),No,0,0.931,7,6-10 yrs,1,1,1-2 yrs,7,4,14,2,4,Very High,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Medical,1,15,2,3
1833,31,26-35,Female,Married,Sales,Sales Executive,3,Senior,9637,9.64,115644,High (6-10K),No,0,2.137,3,3-5 yrs,2,2,1-2 yrs,2,2,9,3,1,Low,1,Low,3,Better,3,Excellent,No,0,Travel_Frequently,7,Medium (6-15),4,Marketing,2,14,4,3
1834,28,26-35,Female,Married,Research & Development,Research Scientist,1,Junior,3591,3.59,43092,Medium (3-6K),No,0,1.71,3,3-5 yrs,2,1,1-2 yrs,2,1,3,3,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,1,Near (1-5),3,Medical,1,25,3,3
1835,38,36-45,Female,Married,Sales,Sales Representative,2,Mid-Level,5405,5.4,64860,Medium (3-6K),No,0,1.507,4,3-5 yrs,2,0,Just Promoted,3,2,20,4,4,Very High,2,Medium,2,Good,4,Outstanding,Yes,1,Travel_Rarely,2,Near (1-5),4,Marketing,2,20,1,1
1836,26,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,4684,4.68,56208,Medium (3-6K),No,0,0.991,5,3-5 yrs,3,1,1-2 yrs,2,1,5,4,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,10,Medium (6-15),3,Medical,0,13,1,3
1837,58,55+,Male,Married,Research & Development,Research Director,4,Lead,15787,15.79,189444,Very High (10K+),No,0,1.865,2,0-2 yrs,2,2,1-2 yrs,2,2,23,3,3,High,1,Low,3,Better,3,Excellent,Yes,1,Travel_Frequently,15,Medium (6-15),4,Life Sciences,0,14,2,3
1839,18,18-25,Female,Single,Research & Development,Research Scientist,1,Junior,1514,1.51,18168,Low (<3K),No,0,1.748,0,0-2 yrs,0,0,Just Promoted,0,1,0,4,3,High,2,Medium,1,Bad,3,Excellent,No,0,Non-Travel,14,Medium (6-15),3,Medical,0,16,3,3
